,postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
2340,6367,43,175,20.6,295,167,128,0,36,7,0,14882,"95,243",20.9,15673,BENDERING,WA,118.351936,-32.422646,WA Country,,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.3884,118.304,50903124718,50903124718,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,340.598877,W2,PHN503,Country WA,Kulin,54760,Durack,
2341,6368,11,32,,57,57,0,0,11,0,0,7531,"48,198",10.5,15675,SOUTH KUMMININ,WA,118.339949,-32.189465,NAREMBEEN LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-32.2007639,118.4396756,50902124014,50902124014,509021240,Merredin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,4,4,6,6,Durack,312.0292664,W2,PHN503,Country WA,Narembeen,56370,Durack,Rural
2342,6369,136,383,32.4,877,629,248,0,124,12,0,23832,"152,527",33.5,15676,EMU HILL,WA,118.806453,-32.023679,WA Country,,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-32.0833,118.333,50902124014,50902124014,509021240,Merredin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,4,4,6,6,Durack,324.6993103,W2,PHN503,Country WA,Narembeen,56370,Durack,Rural
2343,6370,69,254,26.8,283,262,21,0,68,1,0,9917,"63,470",13.9,15682,EAST WICKEPIN,WA,117.626013,-32.80605,WICKEPIN LPO,Delivery Area,Updated 3-Dec-2022,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.7828007,117.7075597,50903124712,50903124712,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Wickepin,59100,Durack,
2344,6372,28,79,34.2,110,96,14,0,27,1,0,3934,"25,179",5.5,24115,KIRK ROCK,WA,117.7634,-32.6418,WA Country,Delivery Area,Updated 3-Dec-2022,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.6275771,117.6200138,50903124711,50903124711,509031247,Kulin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,,,,,Wickepin,59100,,
2345,6373,9,48,,49,49,0,0,9,0,0,6774,"43,355",9.5,15688,BULLARING,WA,117.763902,-32.495421,NARROGIN,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.5258694,117.784246,50903124605,50903124605,509031246,Brookton,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Corrigin,52100,Durack,
2346,6375,220,484,43,1078,850,228,0,208,12,0,17064,"109,211",23.9,15689,ADAMSVALE,WA,117.879836,-32.286284,CORRIGIN LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.1998612,117.6726096,50903124605,50903124605,509031246,Brookton,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,4,4,6,6,O Connor,,W2,PHN503,Country WA,Corrigin,52100,Durack,
2347,6383,194,500,36.4,1048,657,183,208,182,11,1,31542,"201,869",45.7,15695,BADJALING,WA,117.406271,-31.951084,QUAIRADING LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.9988889,117.4993647,50902123707,50902123707,509021237,Cunderdin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,3,3,5,5,Durack,246.3755798,W2,PHN503,Country WA,Quairading,57350,Durack,Rural
2348,6384,4,8,,22,22,0,0,4,0,0,2392,"15,310",3.5,15703,PANTAPIN,WA,117.666205,-31.955552,QUAIRADING LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-32.0308551,117.666952,50902123707,50902123707,509021237,Cunderdin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,3,3,5,5,Durack,,W2,PHN503,Country WA,Quairading,57350,Durack,Rural
2349,6385,5,24,,31,31,0,0,5,0,0,3361,"21,513",4.9,15704,KWOLYIN,WA,117.747301,-31.902072,QUAIRADING LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-31.9359005,117.7138785,50902124011,50902124011,509021240,Merredin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,4,4,6,6,Durack,298.1185913,W2,PHN503,Country WA,Bruce Rock,51120,Durack,Rural
2350,6386,9,60,15,42,42,0,0,9,0,0,5049,"32,311",7.1,15705,SHACKLETON,WA,117.815142,-31.950074,QUAIRADING LPO,Delivery Area,Updated 6-Feb-2020,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,R3,-32.0018432,117.8780275,50902124011,50902124011,509021240,Merredin,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,4,4,6,6,Durack,,W2,PHN503,Country WA,Bruce Rock,51120,Durack,Rural
2351,6390,338,868,37.2,1798,1526,272,0,323,15,0,38834,"248,540",55.2,15706,BANNISTER,WA,116.413369,-32.805438,BODDINGTON LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-32.582088,116.4855219,50903124606,50903124606,509031246,Brookton,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,3,3,5,5,Canning,211.9031372,W2,PHN503,Country WA,Boddington,50630,Canning,Outer Metropolitan
2352,6391,140,500,25.2,888,584,304,0,126,14,0,38989,"249,527",55.4,15717,BORANING,WA,116.773204,-33.0633,WA Country,,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.1057,116.709,50903125012,50903125012,509031250,Wagin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,289.2877197,W2,PHN503,Country WA,Williams,59170,Canning,Outer Metropolitan
2353,6392,78,279,25.8,380,283,97,0,72,6,0,18713,"119,762",26.2,15725,BOKAL,WA,116.625294,-33.400929,WILLIAMS LPO,Delivery Area,Updated 6-Feb-2020,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,R3,-33.4417159,116.9027334,50903125015,50903125015,509031250,Wagin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,3,3,5,5,O Connor,296.5818176,W2,PHN503,Country WA,West Arthur,58890,Canning,
